,year,title,speaker
118,1985,豪州ナショナル・プレス・クラブにおける中曽根康弘内閣総理大臣演説,中曽根康弘
119,1985,読売国際経済懇話会での講演，今年の課題と日本の方針，経済体質の改革を断行する（中曽根内閣総理大臣）,中曽根康弘
120,1985,ベルリン日独センター・レセプションにおける中曽根康弘内閣総理大臣のスピーチ,中曽根康弘
121,1985,中曽根康弘内閣総理大臣のソルボンヌ大学における講演,中曽根康弘
122,1985,第五回軽井沢セミナーにおける講演，新しい日本の主体性（中曽根内閣総理大臣）,中曽根康弘
123,1985,第九回全国研修会における講演，「中曽根流政治」をさらに推進，時代のテンポとリズムに合わせた政治（中曽根内閣総理大臣）,中曽根康弘
124,1985,内外情勢調査会第二十八回全国年次大会における講演，国際情勢の展望と日本の進路（中曽根内閣総理大臣）,中曽根康弘
125,1985,国連創立４０周年記念会期における中曽根康弘内閣総理大臣演説,中曽根康弘
126,1986,中曽根康弘内閣総理大臣のカナダ連邦議会におけるスピーチ,中曽根康弘
127,1986,衆・参同日選挙に際してのＮＨＫ「党首は訴える」，国際国家日本の道標（中曽根内閣総理大臣）,中曽根康弘
128,1986,第六回軽井沢セミナーにおける中曽根内閣総理大臣の講演，新時代を築く自民党の使命，一九八六年体制のスタート,中曽根康弘
129,1986,第十回全国研修会における中曽根内閣総理大臣の講演，グレー・ゾーンへのアピール，改革者の政党,中曽根康弘
130,1986,読売国際経済懇話会での講演，レイキャビクとその後（中曽根内閣総理大臣）,中曽根康弘
132,1987,制改革推進全国会議における中曽根内閣総理大臣の講演，税制改革について訴える,中曽根康弘
133,1987,第七回軽井沢セミナーにおける中曽根内閣総理大臣の講演，民族主義と国際主義の調和を,中曽根康弘
134,1987,第十一回全国研修会での中曽根内閣総理大臣の講演，戦後政治の総決算とは何か，中曽根政治の原点と展開,中曽根康弘
135,1987,「故岸信介」内閣・自由民主党合同葬儀における中曽根内閣総理大臣の追悼の辞,中曽根康弘
136,1987,第４２回国連総会一般討論における中曽根康弘内閣総理大臣演説,中曽根康弘
137,1987,チュラロンコーン大学名誉政治学博士号授与式における中曽根内閣総理大臣のスピーチ，新世紀のアジア，活力と調和の時代へ,中曽根康弘
138,1987,組閣に際して（竹下内閣総理大臣）,竹下登
139,1988,年頭の挨拶（竹下内閣総理大臣）,竹下登
140,1988,ナショナル・プレス・クラブにおける竹下登内閣総理大臣演説「日米のグローバル・パートナーシップを目指して──世界に貢献する日本」,竹下登
141,1988,大隈重信生誕百五十年記念講演「建学の精神を継承して，今こそ新しい早稲田百年の第一歩を」（竹下内閣総理大臣）,竹下登
142,1988,社会経済国民会議における竹下内閣総理大臣の挨拶,竹下登
143,1988,インド祭開会式における竹下内閣総理大臣の挨拶,竹下登
144,1988,ロンドン市長主催午餐会における竹下登内閣総理大臣スピーチ「日欧新時代の開幕」,竹下登
145,1988,第３回国連軍縮特別総会一般討論における竹下登内閣総理大臣演説,竹下登
146,1988,シカゴ日米協会主催晩餐会における竹下登内閣総理大臣演説「日米関係の新たなる飛躍—世界への貢献を目指して」,竹下登
147,1988,青年経済人東京会議式典における竹下内閣総理大臣の挨拶,竹下登
148,1988,竹下登内閣総理大臣の西安記念講演「新たなる飛躍をめざして」,竹下登
149,1988,税制改革懇談会における竹下内閣総理大臣の挨拶,竹下登
150,1988,「故　三木武夫氏」衆議院・内閣合同葬儀における竹下内閣総理大臣の追悼の辞,竹下登
151,1989,大行天皇崩御に際しての竹下内閣総理大臣の謹話,竹下登
152,1989,即位後朝見の儀における竹下内閣総理大臣の奉答文,竹下登
153,1989,新しい元号「平成」について（竹下内閣総理大臣）,竹下登
154,1989,経済団体連合会第四百八十一回常任理事会における竹下内閣総理大臣の挨拶,竹下登
155,1989,税制・ふるさと創生・日本の将来を語る（竹下内閣総理大臣）,竹下登
156,1989,経済団体連合会臨時総会における竹下内閣総理大臣の挨拶,竹下登
157,1989,「大喪の礼」御式における竹下内閣総理大臣の弔辞,竹下登
158,1989,平成の出発は「ふるさと創生」から（竹下内閣総理大臣）,竹下登
159,1989,国民の皆様へ（竹下内閣総理大臣）,竹下登
160,1989,竹下登内閣総理大臣のＡＳＥＡＮ諸国訪問における政策演説「共に考え共に歩むー日本とＡＳＥＡＮ」,竹下登
161,1989,内閣総辞職に当たって（竹下内閣総理大臣）,竹下登
162,1989,組閣に際しての宇野内閣総理大臣談話,宇野宗佑
163,1989,内閣総辞職に当たっての宇野内閣総理大臣談話,宇野宗佑
164,1989,組閣（第一次）に際して（海部内閣総理大臣）,海部俊樹
165,1989,ナショナル・プレス・クラブにおける海部俊樹内閣総理大臣の演説,海部俊樹
166,1989,第十三回全国研修会における講演，「対話と改革の政治」をめざして（海部内閣総理大臣）,海部俊樹
167,1989,早稲田大学における海部俊樹内閣総理大臣の記念講演,海部俊樹
168,1990,ベルリンにおける海部俊樹内閣総理大臣演説,海部俊樹
